STATE,STCNTY,COUNTYNAME,POP19,TAXFILERS,NUMDEP,NUMELDER,INCOME,NUMFARM,INCTAX,TEMPERATURE
NM,NM Eddy County,Eddy County,58460,22810,17680,4630,1693816000,330,198203000,62.10216337
NM,NM Grant County,Grant County,26998,8450,4500,3200,404578000,60,31977000,56.62233664
NM,NM Guadalupe County,Guadalupe County,4300,1550,980,390,51458000,130,2730000,56.65415624
NM,NM Harding County,Harding County,625,140,50,70,5641000,30,334000,54.41558791
NM,NM Hidalgo County,Hidalgo County,4198,1580,1200,420,68264000,100,4405000,61.19009089
NM,NM Lea County,Lea County,71070,25720,24170,4200,1677302000,320,171452000,61.0356823
NM,NM Lincoln County,Lincoln County,19572,7020,3480,2800,362749000,110,33482000,47.62462705
NM,NM Los Alamos County,Los Alamos County,19369,6700,3680,1910,752719000,30,101634000,32.6951426
NM,NM Luna County,Luna County,23709,8250,6560,2030,296605000,100,18204000,59.46667718
NM,NM McKinley County,McKinley County,71367,12030,10950,2710,509251000,220,40463000,48.76096709
NM,NM Mora County,Mora County,4521,1330,800,470,47589000,100,2903000,46.4351224
NM,NM Otero County,Otero County,67490,28570,19500,7310,1260742000,290,94385000,52.2382921
NM,NM Quay County,Quay County,8253,3280,2030,1070,124696000,280,7684000,57.85809515
NM,NM Rio Arriba County,Rio Arriba County,38921,7190,4310,2230,297391000,330,21217000,49.11060754
NM,NM Roosevelt County,Roosevelt County,18500,6860,5210,1430,294655000,300,19959000,59.17249362
NM,NM San Juan County,San Juan County,123958,44230,33780,10770,2438172000,720,220843000,52.07868962
NM,NM San Miguel County,San Miguel County,27277,10550,5770,3390,403206000,370,29353000,53.17190161
NM,NM Sandoval County,Sandoval County,146748,65440,40950,19100,4086950000,240,395731000,51.43975051
NM,NM Santa Fe County,Santa Fe County,150358,78350,36330,28450,5873280000,600,725328000,50.55387088
NM,NM Sierra County,Sierra County,10791,3600,1750,1440,126122000,70,7908000,52.4944072
NM,NM Socorro County,Socorro County,16637,6650,4430,1940,275066000,250,20570000,54.01301132
NM,NM Taos County,Taos County,32723,12390,5810,4540,585648000,170,53625000,42.36241257
NM,NM Torrance County,Torrance County,15461,4530,2900,1380,188446000,270,14047000,52.71678189
NM,NM Union County,Union County,4059,1240,780,370,61132000,100,5039000,53.07285162
NM,NM Valencia County,Valencia County,76688,30590,21870,8160,1456307000,590,111653000,55.78761485
NV,NV Carson City,Carson City,55916,27390,13690,8450,1690911000,20,171790000,44.72560976
NV,NV Churchill County,Churchill County,24909,10810,6350,3020,610808000,290,53416000,51.91186103
NV,NV Clark County,Clark County,2266715,1015810,659330,214500,71311177000,150,8718465000,53.81421254
NV,NV Douglas County,Douglas County,48905,21160,8910,8890,1862563000,140,229595000,47.01953059
NV,NV Elko County,Elko County,52778,19900,14850,3850,1509135000,310,155092000,44.87354845
NV,NV Esmeralda County,Esmeralda County,873,300,150,130,15284000,0,1272000,63.200173
NV,NV Eureka County,Eureka County,2029,750,530,200,54010000,70,5256000,46.55860459
NV,NV Humboldt County,Humboldt County,16831,6810,5080,1410,450317000,140,42207000,49.89181277
NV,NV Lander County,Lander County,5532,2390,1750,530,174624000,50,18440000,48.89516959
NV,NV Lincoln County,Lincoln County,5183,1270,850,470,70145000,50,5430000,50.38476446
NV,NV Lyon County,Lyon County,57510,28070,15980,8270,1507021000,190,122578000,50.15201779
NV,NV Mineral County,Mineral County,4505,1500,740,530,76406000,0,5993000,54.80603366
NV,NV Nye County,Nye County,46523,17510,8800,7100,959883000,20,84317000,65.15992016
NV,NV Pershing County,Pershing County,6725,1600,1070,460,86333000,60,7115000,51.20416586
NV,NV Storey County,Storey County,4123,0,0,0,0,0,0,43.86931751
NV,NV Washoe County,Washoe County,471519,227910,120360,57450,20230500000,260,2731453000,42.30269396
NV,NV White Pine County,White Pine County,9580,2470,1470,630,144775000,50,12981000,48.13738797
NY,NY Albany County,Albany County,305506,140740,65520,38790,10403955000,130,1266481000,46.56741791
NY,NY Allegany County,Allegany County,46091,17620,10230,5450,916683000,420,78014000,46.60677796
NY,NY Bronx County,Bronx County,1418207,664800,472100,107960,27280760000,0,2168692000,51.40069489
NY,NY Broome County,Broome County,190488,88640,43290,26760,5170952000,210,514944000,46.42589478
NY,NY Cattaraugus County,Cattaraugus County,76117,31020,16870,8850,1576057000,460,131927000,44.71896223
NY,NY Cayuga County,Cayuga County,76576,33570,16870,9630,1907982000,570,175258000,48.18133446
NY,NY Chautauqua County,Chautauqua County,126903,55620,30100,16590,2820007000,800,238619000,46.36731537
NY,NY Chemung County,Chemung County,83456,37630,19940,10880,2191164000,150,216237000,47.8373052
NY,NY Chenango County,Chenango County,47207,21940,11420,6540,1113877000,460,90728000,46.33575066
NY,NY Clinton County,Clinton County,80485,35360,16610,9990,2016115000,400,182897000,44.80884028
NY,NY Columbia County,Columbia County,59461,27670,12000,9240,1976682000,140,229925000,45.41114237
NY,NY Cortland County,Cortland County,47581,20000,10530,5310,1091070000,350,98146000,46.81698669
NY,NY Delaware County,Delaware County,44135,17340,7900,6210,922340000,180,80071000,45.81389528
NY,NY Dutchess County,Dutchess County,294218,142620,73800,40470,11686699000,160,1443368000,49.29868503
NY,NY Erie County,Erie County,918702,450840,225600,124400,30083721000,490,3420105000,46.16359665
NY,NY Essex County,Essex County,36885,16940,7370,5580,957210000,40,88129000,44.93082895
NY,NY Franklin County,Franklin County,50022,19290,9950,5530,1020863000,570,86686000,42.78548327
NY,NY Fulton County,Fulton County,53383,22280,11490,6340,1172149000,70,102000000,47.19113462
NY,NY Genesee County,Genesee County,57280,27620,13650,8000,1516547000,270,127909000,49.04162237
NY,NY Greene County,Greene County,47188,21860,9860,6760,1275698000,20,122100000,44.24834294
NY,NY Hamilton County,Hamilton County,4416,2120,640,990,117644000,0,9686000,41.18695747
NY,NY Herkimer County,Herkimer County,61319,26360,13940,7610,1364232000,470,113193000,44.79349419
NY,NY Jefferson County,Jefferson County,109834,46830,28920,10480,2495951000,500,207620000,46.21009307
NY,NY Kings County,Kings County,2559903,1223970,735300,212290,82244652000,20,10858758000,53.41035897
NY,NY Lewis County,Lewis County,26296,10390,6220,2900,541035000,380,41524000,43.62041887
NY,NY Livingston County,Livingston County,62914,27410,13430,8500,1629531000,420,149532000,48.06679704
NY,NY Madison County,Madison County,70941,34690,17900,10340,2256738000,460,238584000,46.38095994
NY,NY Monroe County,Monroe County,741770,362950,185180,99170,24555741000,320,2750481000,47.99430624
NY,NY Montgomery County,Montgomery County,49221,25110,14420,6980,1304112000,540,112825000,46.76657618
NY,NY Nassau County,Nassau County,1356924,718350,417830,195720,89578416000,0,14921213000,50.79779567
NY,NY New York County,New York County,1628706,865690,293050,178600,2.06E+11,60,44160019000,52.4075941
NY,NY Niagara County,Niagara County,209281,103810,49950,30210,5842134000,470,542594000,48.3605286
NY,NY Oneida County,Oneida County,228671,102480,55560,29040,5829714000,610,563328000,43.29008064
NY,NY Onondaga County,Onondaga County,460528,219430,116370,59450,15207461000,350,1740135000,47.32558879
NY,NY Ontario County,Ontario County,109777,54090,26890,16440,3869949000,600,444851000,48.18417591
NY,NY Orange County,Orange County,384940,173320,120510,39450,12949255000,180,1496814000,49.92888977
NY,NY Orleans County,Orleans County,40352,17870,9410,4920,882773000,360,68969000,49.45865374
NY,NY Oswego County,Oswego County,117124,53250,28940,13990,2933388000,360,256943000,47.45255575
NY,NY Otsego County,Otsego County,59493,25340,11470,8520,1453440000,530,138535000,45.50253264
NY,NY Putnam County,Putnam County,98320,49810,26600,13960,4928875000,0,677372000,51.43800881
NY,NY Queens County,Queens County,2253858,1164770,634460,241760,65141796000,0,6855008000,52.25586773
NY,NY Rensselaer County,Rensselaer County,158714,78180,36760,21070,5087915000,250,526093000,48.65893958
NY,NY Richmond County,Richmond County,476143,225940,138040,56090,16994497000,0,2013969000,53.51103378
NY,NY Rockland County,Rockland County,325789,147330,120970,38700,14372125000,0,2007342000,51.75565417
NY,NY Saratoga County,Saratoga County,229863,116310,56260,33070,12431591000,330,1894273000,48.69924145
NY,NY Schenectady County,Schenectady County,155299,86050,44830,23480,5776162000,110,616094000,48.43201108
NY,NY Schoharie County,Schoharie County,30999,13590,6450,4300,755974000,260,66798000,46.78294669
NY,NY Schuyler County,Schuyler County,17807,8220,3900,2550,448188000,230,39211000,47.38479164
NY,NY Seneca County,Seneca County,34016,14020,7370,4230,730517000,390,62175000,47.97456061
NY,NY St Lawrence County,St. Lawrence County,107740,42680,25050,12080,2272723000,800,192292000,43.48843289
NY,NY Steuben County,Steuben County,95379,42420,22990,12310,2572071000,1110,265048000,47.40798338
NY,NY Suffolk County,Suffolk County,1476601,771420,421860,197380,72273279000,20,10426278000,53.64912334
NY,NY Sullivan County,Sullivan County,75432,32270,19270,8820,1853791000,90,176813000,45.73758563
NY,NY Tioga County,Tioga County,48203,22950,12400,6790,1298841000,320,114002000,47.34046703
NY,NY Tompkins County,Tompkins County,102180,40250,17210,11410,2982476000,350,346081000,46.76376891
NY,NY Ulster County,Ulster County,177573,87540,40480,26220,6044491000,120,675879000,48.1776963
NY,NY Warren County,Warren County,63944,33370,14180,10350,2113300000,0,220000000,46.25695618
NY,NY Washington County,Washington County,61204,29490,14300,8390,1559107000,450,129297000,49.37607116
